Sport,Rank,Popularity,Endurance,Strength,Power,Speed,Agility,Flexibility,Nerve,Durability,Hand-Eye Coordination,Analytical Aptitude,Total,Popularity_Total
Soccer,10,3001,7.75,4.5,5.13,7.25,8.25,4.75,3.63,6.25,6.5,7.5,61.5,50.0166666666667
Baseball/Softball,9,1466,4.63,5.75,7.63,6.5,6.75,4.75,5.13,5.63,9.25,6.25,62.25,24.4333333333333
Basketball,4,1394,7.38,6.25,6.5,7.25,8.13,5.63,4.13,7.75,7.5,7.38,67.875,23.2333333333333
Tennis,7,1170,7.25,5.13,7.13,6.75,7.75,5.63,3,5,8.38,6.75,62.75,19.5
Auto Racing,32,689,5.88,3.5,2.63,1.63,2.75,1.75,9.88,4.38,8,7.5,47.875,11.4833333333333
Football,3,449,5.38,8.63,8.13,7.13,6.38,4.38,7.25,8.5,5.5,7.13,68.375,7.48333333333333
Boxing,1,446,8.63,8.13,8.63,6.38,6.25,4.38,8.88,8.5,7,5.63,72.375,7.43333333333333
Golf,51,426,3.25,3.88,6.13,1.63,1.75,4,2.5,2.38,6,6.38,37.875,7.1
Ice Hockey,2,350,7.25,7.13,7.88,7.75,7.63,4.88,6,8.25,7.5,7.5,71.75,5.83333333333333
Volleyball,20,342,5.13,4.88,6.63,5,7,5.13,2.88,4.63,7.25,5.88,54.375,5.7
Badminton,30,299,5.25,3.25,4,5.63,7.38,5.25,1.25,2.63,7.25,6.13,48,4.98333333333333
Rugby,13,294,6.75,7,6.38,5.88,6,4.13,6.5,7.88,4.38,5.63,60.5,4.9
Martial Arts,6,285,5,5.88,7.75,6.38,6,7,6.63,5.88,6,6.88,63.375,4.75
Billiards,59,168,1,1,1.75,0.75,1,2.63,1.63,0.75,5.25,5.75,21.5,2.8
Cycling: Distance,20,143,9.63,6.38,6.25,5.13,3.75,2.63,5.88,6.88,3,4.88,54.375,2.38333333333333
Cycling: Sprints,27,143,4.25,6.13,7.88,7.5,4,2.88,4.75,4.5,3.63,4.5,50,2.38333333333333
Field Hockey,17,142,6.75,4.5,5.38,6,5.75,4.63,3.75,5,6.63,6.5,54.875,2.36666666666667
Team Handball,26,105,4.88,3.88,5.38,5.5,6,4.5,3,3.88,7.88,5.88,50.75,1.75
Table Tennis,47,98,3.5,2.5,4.63,4.13,5.88,4.25,1.38,1.88,8.88,6,43,1.63333333333333
Swimming (all strokes): Distance,36,94.5,9.25,5.25,4.63,5.5,3.63,5.5,2.63,4.63,2.88,3,46.875,1.575
Swimming (all strokes): Sprints,45,94.5,4.13,5.25,6.25,7.88,3.63,5.5,2.5,3.25,2.75,3,44.125,1.575
Horse Racing,50,93,4,3.88,2.88,1.38,2.88,3.75,8,4.5,3.88,6.5,41.625,1.55
Gymnastics,8,78,5.38,6.13,6.63,5,6.38,10,7.5,6.88,4.5,4.13,62.5,1.3
Driving/Rally,35,72,2.88,5.13,4.63,3,3.5,8.5,8.38,5,3,3,47,1.2
Track and Field: Pole Vault,16,71,3.38,6.88,7.25,6.13,5.38,7,6.63,4.25,5.25,3.75,55.875,1.18333333333333
Track and Field: High Jump,33,71,3,6,7,6.13,5.63,6.63,3.5,3.5,3.5,2.88,47.75,1.18333333333333
"Track and Field: Long, Triple jumps",34,71,4,5.63,7.13,6.75,5,5.75,2.75,3.25,4,3.13,47.375,1.18333333333333
Track and Field: Sprints,38,71,3.5,5.13,7.25,9.88,4.63,5.13,2,4.13,2.63,2.38,46.625,1.18333333333333
Track and Field: Distance,40,71,9.63,5.25,3.75,6,3.25,4.38,2,5.75,1.88,4.13,46,1.18333333333333
Track and Field: Middle Distance,43,71,6,5.13,5.13,7.75,4,4.88,2,4.75,2.13,3.75,45.5,1.18333333333333
Track and Field: Weights,48,71,3.25,7.88,9.13,3,3.13,3,2.25,3.63,4,2.88,42.125,1.18333333333333
Wrestling,5,67,6.63,8.38,7.13,5.13,6.38,7.5,5,6.75,4.25,6.38,63.5,1.11666666666667
Skiing: Alpine,11,67,5.13,5.25,6,7.38,6.13,5.63,8.38,6,5.13,5.63,60.625,1.11666666666667
Figure Skating,19,65,6.38,5.25,6.63,5.13,6.88,8.25,4.88,4,3.13,4.25,54.75,1.08333333333333
Speed Skating,17,60,7.63,7.25,7.38,8.88,4,4.25,4.5,4.63,2.88,3.5,54.875,1
Weight-Lifting,44,49,4.13,9.25,9.75,2.63,2.5,3.38,4,4.75,2.25,2.38,45,0.816666666666667
Shooting,58,39,2.25,2.5,1.38,0.88,1.13,1.75,2.38,1.88,6.75,4,24.875,0.65
Skiing: Freestyle,25,34,4.13,5.13,4.88,5.13,6.63,6.88,6.63,5.13,4.13,3.88,52.5,0.566666666666667
Skiing: Nordic,30,34,9,5.75,4.38,5.13,4,4,2.75,5.5,3.63,3.88,48,0.566666666666667
Ski Jumping,29,31,3.5,4.5,5.75,4.63,4,5,9,4.63,4.38,3.5,48.875,0.516666666666667
Archery,55,25,2.88,4.5,3.13,1.13,1.63,2.63,2.75,2.13,6.63,3.25,30.625,0.416666666666667
Equestrian,54,22,3.38,3.25,1.75,1.25,2.5,2.88,6,2.75,2.88,5.13,31.75,0.366666666666667
Fencing,24,19,4.63,3.75,4.25,5.13,6.13,5.63,4.88,4.25,7.25,6.88,52.75,0.316666666666667
Surfing,23,12,4.63,5,4.13,4.25,6.63,5.5,8.25,5.5,4.38,4.88,53.125,0.2
Roller Skating,52,12,4.75,3.38,4,5.13,4,3.5,2.63,3.38,2.88,2.63,36.25,0.2
Water Polo,11,5,7.88,6.63,6.88,5.38,6.38,5,4.25,6.38,6.25,5.63,60.625,0.0833333333333333
Lacrosse,14,5,6.63,5.13,5.75,7,6.63,4.75,4.38,6.13,7.13,6.88,60.375,0.0833333333333333
Racquetball/Squash,22,5,6.13,3.75,5,5.5,7.25,5.88,2.38,2.88,8.38,6.5,53.625,0.0833333333333333
Bobsledding/Luge,28,5,3.5,5.5,6.5,6.75,4.13,3.25,7.75,3.5,4.13,4.25,49.25,0.0833333333333333
Skateboarding,37,5,4.13,3.75,3.75,4.13,6.13,5.13,6.5,5.25,4.88,3.13,46.75,0.0833333333333333
Rowing,39,5,8.13,7.75,7.13,4,2.5,4,1.75,4.38,2.88,3.63,46.125,0.0833333333333333
Water Skiing,46,5,4.63,5,4.5,3,4.25,4.75,5.88,4.63,4.13,3.25,44,0.0833333333333333
Canoe/Kayak,49,5,6.75,5.25,5.63,3.5,2.75,3.88,3.63,3.25,3.13,4.25,42,0.0833333333333333
Curling,56,5,2.25,2.63,2.5,1.5,2.25,2.63,1.75,1.5,4.88,5.63,27.5,0.0833333333333333
Bowling,57,5,2.25,2.75,3.38,1,1.88,2.38,1.63,1.25,4.75,4.13,25.375,0.0833333333333333
Rodeo: Steer Wrestling,15,3.3,4,7,7.88,3.88,4.88,5,7.88,6.88,5.13,4,56.5,0.055
Rodeo: Calf Roping,40,3.3,3.13,5.38,5,4.25,5.63,3.88,4.88,3.75,6.38,3.75,46,0.055
Rodeo: Bull/Bareback/Bronc Riding,42,3.3,3.25,5.38,4,1.75,3.63,4.25,9.5,7.38,3.63,3.13,45.875,0.055
Cheerleading,52,0,3.63,3.63,3.38,2.25,4.13,7.5,3.63,3.38,2.5,2.25,36.25,0
Fishing,60,0,1.38,1.63,1.25,0.63,1.5,1.13,0.88,0.88,2.38,2.88,14.5,0
